"Arquivo","AntesMB","DepoisMB","EconomiaPct","Status"
"public\assets\love-scene-estilo\kit\revistas.png","1,836","0,28","84,7","convertido"
"public\assets\love-scene-estilo\kit\styleicon.png","0,022","0,003","84,7","convertido"
"public\assets\love-scene-estilo\kit\teamo.png","0,158","0,033","79,3","convertido"
"public\assets\love-scene-estilo\kit\tiger.png","0,892","0,118","86,8","convertido"
"public\assets\love-scene-estilo\kit\tiger02.png","0,214","0,035","83,4","convertido"
"public\assets\love-scene-estilo\kit\vcdeixatudomaisbonito.png","0,257","0,054","79,1","convertido"
"public\assets\love-scene-estilo\kit\vogue.png","0,613","0,089","85,4","convertido"
"public\assets\love-scene-estilo\kit\vogue02.png","0,428","0,069","83,8","convertido"
"public\assets\romance\trabalho-frase-01-user.png","0,24","0,118","50,7","convertido"
"public\assets\romance\trabalho-frase-02-user.png","0,173","0,082","52,6","convertido"
"public\assets\romance\trabalho-frase-03-user.png","0,181","0,084","53,5","convertido"
"public\assets\rotina\fundo-carta-mobile.png","2,552","0,268","89,5","convertido"
"public\assets\rotina\fundo-carta-painel.png","2,524","0,252","90","convertido"
"public\assets\rotina\rotina-01.jpeg","0,136","0,077","43,7","convertido"
"public\assets\rotina\rotina-02.jpeg","0,136","0,086","36,6","convertido"
"public\assets\rotina\rotina-03.jpeg","0,395","0,356","9,9","convertido"
"public\assets\rotina\rotina-04.jpeg","0,218","0,167","23,4","convertido"
"public\assets\rotina\rotina-05.jpeg","0,21","0,165","21,4","convertido"
"public\assets\rotina\rotina-06.jpeg","0,167","0,116","30,3","convertido"
"public\assets\rotina\rotina-07.jpeg","0,104","0,083","20,1","convertido"
"public\assets\rotina\rotina-08.jpeg","0,231","0,194","15,7","convertido"
"public\assets\rotina\rotina-09.jpg","0,095","0,082","14,1","convertido"
"public\assets\rotina\rotina-10.jpeg","0,079","0,057","28,7","convertido"
"public\assets\rotina\rotina-11.jpeg","0,392","0,357","8,8","convertido"
"public\assets\rotina\rotina-12.jpeg","0,241","0,198","18,1","convertido"
"public\assets\rotina\rotina-13.jpeg","0,222","0,16","28,1","convertido"
"public\assets\rotina\rotina-14.jpeg","0,096","0,08","16,5","convertido"
"public\assets\rotina\rotina-15.jpeg","0,074","0,049","33,6","convertido"
"public\assets\rotina\rotina-16.jpeg","0,134","0,076","43,5","convertido"
"public\assets\rotina\rotina-17.jpeg","0,179","0,119","33,8","convertido"
"public\assets\rotina\rotina-18.jpeg","0,143","0,09","36,9","convertido"
"public\assets\rotina\titulo-toda-hora.png","0,427","0,118","72,4","convertido"
"public\assets\rotina\titulo-todo-dia.png","0,473","0,118","75,1","convertido"
"public\assets\trabalho\trabalho-01.jpg","0,219","0,16","26,9","convertido"
"public\assets\trabalho\trabalho-02.jpg","0,371","0,349","6","mantido: economia < 8%"
"public\assets\trabalho\trabalho-03.jpeg","0,21","0,161","23,3","convertido"
"public\assets\trabalho\trabalho-04.jpeg","0,19","0,149","21,3","convertido"
"public\assets\trabalho\trabalho-05.jpeg","0,189","0,156","17,4","convertido"
"public\assets\trabalho\trabalho-06.jpeg","0,187","0,142","24,4","convertido"
"public\assets\trabalho\trabalho-07.jpeg","0,124","0,07","43,1","convertido"
"public\assets\trabalho\trabalho-08.jpeg","0,242","0,205","15,1","convertido"
"public\assets\trabalho\trabalho-09.jpeg","0,271","0,237","12,4","convertido"
"public\assets\trabalho\trabalho-10.jpeg","0,346","0,307","11,5","convertido"
"public\assets\trabalho\trabalho-11.jpeg","0,105","0,091","13,2","convertido"
"public\assets\trabalho\trabalho-12.jpeg","0,309","0,259","16,1","convertido"
"public\assets\trabalho\trabalho-13.jpeg","0,164","0,119","27,4","convertido"
"public\assets\trabalho\trabalho-14.jpeg","0,193","0,119","38,1","convertido"
"public\assets\trabalho\trabalho-15.jpeg","0,198","0,192","2,9","mantido: economia < 8%"
"public\assets\trabalho\trabalho-16.jpeg","0,087","0,083","4,8","mantido: economia < 8%"
"public\assets\trabalho\trabalho-17.jpeg","0,095","0,094","0,9","mantido: economia < 8%"
"public\assets\trabalho\trabalho-18.jpeg","0,115","0,113","1,4","mantido: economia < 8%"
"public\assets\trabalho\trabalho-19.jpeg","0,102","0,096","5,2","mantido: economia < 8%"
"public\assets\trabalho\trabalho-20.jpeg","0,098","0,087","11,1","convertido"
"public\assets\vivencias\balaofala.png","0,091","0,033","63,9","convertido"
"public\assets\vivencias\fala-final.png","0,065","0,021","66,9","convertido"
